ood_tier,EXP_ID,EXP_NAME,RT_ARCHITECTURE,RT_HEAD_TYPE,protocol,K,n_runs,n_completed_model_seeds,model_seeds_present,repeat_seeds_present,n_query_mean,n_support_mean,mape_pct_mean,mape_pct_std,mape_pct_sem,mape_pct_ci95_low,mape_pct_ci95_high,mape_pct_n,r2_mean,r2_std,r2_sem,r2_ci95_low,r2_ci95_high,r2_n,mae_sec_mean,mae_sec_std,mae_sec_sem,mae_sec_ci95_low,mae_sec_ci95_high,mae_sec_n,rmse_sec_mean,rmse_sec_std,rmse_sec_sem,rmse_sec_ci95_low,rmse_sec_ci95_high,rmse_sec_n,median_ae_sec_mean,median_ae_sec_std,median_ae_sec_sem,median_ae_sec_ci95_low,median_ae_sec_ci95_high,median_ae_sec_n,spearman_mean,spearman_std,spearman_sem,spearman_ci95_low,spearman_ci95_high,spearman_n,order,name_short
new_report_low_overlap_ood,E5,M1 RadonPy pretrain × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,5,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2023.8333333333333,5.0,27.87387991072294,12.282822334648445,1.585705544883931,24.765897042750435,30.981862778695447,60,0.12226973629550582,0.6035287980653117,0.07791523279545104,-0.030444119983578224,0.2749835925745899,60,93.20537146919388,73.02378443739525,9.427330033435737,74.72780460365983,111.68293833472792,60,122.85575226479945,95.55274879408384,12.335806825460917,98.67757088689605,147.03393364270283,60,73.06132996082306,59.35258882596032,7.662386269241358,58.04305287311,88.07960704853612,60,0.6482453431976177,0.1735839289327398,0.022409588864191768,0.6043225490238019,0.6921681373714336,60,5,M1-R1
new_report_low_overlap_ood,E5,M1 RadonPy pretrain × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,20,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2008.8333333333333,20.0,27.72313711609814,13.896889587966994,1.7940807312759806,24.206738882797218,31.239535349399063,60,0.2648273462379403,0.32404825039402996,0.0418344492381243,0.18283182573121667,0.3468228667446639,60,83.23567968943931,56.240719275214055,7.260645637721017,69.00481423950612,97.4665451393725,60,112.47808129276441,76.66600356367233,9.897538500746046,93.07890583130217,131.87725675422666,60,62.904298186302185,42.99271016360031,5.5503350157315445,52.025641555468354,73.78295481713602,60,0.6161991129883057,0.1910531626851,0.024664857243988286,0.5678559927900886,0.6645422331865227,60,5,M1-R1
new_report_low_overlap_ood,E5,M1 RadonPy pretrain × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,100,50,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2325.6,100.0,21.51725532856309,7.1711978493394035,1.0141605256996555,19.529500698191764,23.505009958934412,50,0.5021886854637347,0.20227103228292814,0.02860544371297231,0.446122015786309,0.5582553551411604,50,71.90343480282895,45.98325652365841,6.503014501783882,59.157526379332545,84.64934322632536,50,99.74958113111086,64.72037427547247,9.152843106223592,81.81000864291262,117.6891536193091,50,53.00857143402099,34.53778512627612,4.884380413990745,43.43518582259913,62.581957045442856,50,0.743321601685941,0.12020753960810726,0.01699991328132863,0.7100017716545368,0.7766414317173451,50,5,M1-R1
new_report_low_overlap_ood,E5,M1 RadonPy pretrain × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,1000,30,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2939.3333333333335,1000.0,17.393995981892434,3.246727627961602,0.5927686533032701,16.232169421418025,18.555822542366844,30,0.7577268674563136,0.048617402292223756,0.008876282640918108,0.7403293534801141,0.775124381432513,30,43.3296488637001,21.889323389160346,3.996425396256185,35.49665508703798,51.16264264036222,30,58.71077444661077,30.369730223161106,5.544728769523913,47.8431060583439,69.57844283487763,30,32.5670804977417,15.69386818992253,2.86529520737778,26.95110189128125,38.18305910420215,30,0.876201745537274,0.03834593815022827,0.007000978437859315,0.8624798277990697,0.8899236632754783,30,5,M1-R1
new_report_low_overlap_ood,E6,M1 RadonPy pretrain × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,5,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2023.8333333333333,5.0,29.310978951704747,12.418851341357925,1.6032668141368294,26.168575995996562,32.45338190741293,60,0.03917320738620074,0.8238984332370154,0.10636483036311146,-0.16930186012549775,0.2476482748978992,60,95.23715292516651,71.33457381182342,9.20925387939986,77.18701532154279,113.28729052879024,60,126.4413013005589,97.51157935949595,12.588690764057024,101.76746740300715,151.11513519811066,60,74.18355333805084,53.912644702736955,6.960092502789925,60.54177203258259,87.8253346435191,60,0.5582788181161948,0.2660370848243863,0.034345239966613934,0.4909621477816315,0.6255954884507582,60,6,M1-R2
new_report_low_overlap_ood,E6,M1 RadonPy pretrain × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,20,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2008.8333333333333,20.0,27.328180713881736,12.891937053846885,1.6643419169967764,24.066070556568054,30.590290871195418,60,0.1904681406059674,0.3922543054988219,0.05063981308916978,0.09121410695119463,0.28972217426074015,60,83.48817713439446,53.36823431648894,6.889809424141894,69.98415066307635,96.99220360571258,60,114.05866205809086,75.6420542431811,9.765347211891948,94.91858152278265,133.1987425933991,60,62.146934509277344,38.79231221827522,5.008065972741948,52.33112520270313,71.96274381585155,60,0.6164478430840874,0.17037678148335894,0.02199554790884898,0.5733365691827434,0.6595591169854313,60,6,M1-R2
new_report_low_overlap_ood,E6,M1 RadonPy pretrain × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,100,50,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2325.6,100.0,25.125881754578355,13.008505182186626,1.8396804454849016,21.52010808142795,28.73165542772876,50,0.4669998925915654,0.19680581154593527,0.02783254478421051,0.4124481048145128,0.521551680368618,50,74.04226848098459,45.68555296860441,6.460912861271477,61.37887927289249,86.70565768907669,50,103.51046657362934,64.4031716190282,9.107983876347168,85.6588181759889,121.36211497126979,50,52.66633987426758,31.214166231761318,4.414349722312514,44.01421441853505,61.31846533000011,50,0.7367400068200909,0.11511285921769777,0.016279416670921292,0.7048323501450852,0.7686476634950966,50,6,M1-R2
new_report_low_overlap_ood,E6,M1 RadonPy pretrain × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,1000,30,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2939.3333333333335,1000.0,17.80851385842355,3.4091167076908135,0.6224167073233348,16.588577112069814,19.028450604777284,30,0.7465480108218406,0.05379928618985473,0.009822360874619865,0.7272961835075857,0.7657998381360955,30,44.31232007462427,22.31997306171417,4.075050909602832,36.325220291802715,52.29941985744582,30,59.83694077351626,30.701387835519593,5.605280888076263,48.85059023288679,70.82329131414573,30,33.28242492675781,15.910403879931675,2.9048290346854317,27.588960018774365,38.97588983474126,30,0.8708986963941406,0.03942411225115537,0.007197825196524524,0.8567909590089525,0.8850064337793287,30,6,M1-R2
new_report_low_overlap_ood,E7,M2 joint multitask × R0 device encoder + single head,R0_device_single,single,single_zero_shot_direct,0,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",-1,2028.8333333333333,0.0,75.89684475782444,49.21074321650571,6.3530796310672075,63.44480868093271,88.34888083471617,60,-5.691838846528827,5.318063999428881,0.6865591101284422,-7.037494702380574,-4.346182990677081,60,262.80755809730357,173.57112173329566,22.407935461853143,218.8880045920714,306.72711160253573,60,291.48448926180896,185.0154138874147,23.885387225920983,244.66913029900383,338.2998482246141,60,249.42049026489258,164.79739487908805,21.275252195502514,207.72099596170764,291.1199845680775,60,0.7059801957207443,0.1557660747635853,0.020109313782115508,0.666565940707798,0.7453944507336907,60,7,M2-R0
new_report_low_overlap_ood,E8,M2 joint multitask × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,5,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2023.8333333333333,5.0,29.901540235714986,13.839607947600761,1.786685703303252,26.399636257240612,33.403444214189356,60,0.09020492786153585,0.8222844426966085,0.10615646508031372,-0.11786174369587903,0.2982715994189507,60,95.54693550664348,71.26805021020772,9.200665719360282,77.51363069669733,113.58024031658962,60,123.89746936469119,93.53662046448753,12.075525777316134,100.22943884115156,147.56549988823082,60,77.38512003421783,58.54270102717866,7.557830204008759,62.571772834360665,92.198467234075,60,0.5791544126376604,0.2828558079386015,0.03651652778414157,0.507582018180743,0.6507268070945779,60,8,M2-R1
new_report_low_overlap_ood,E8,M2 joint multitask × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,20,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2008.8333333333333,20.0,25.4536642566008,11.6438141355966,1.5032099411166713,22.507372772012122,28.399955741189476,60,0.30342777881504734,0.3443948070548358,0.04446117840812319,0.21628386913512587,0.3905716884949688,60,81.78692652150042,57.742600197822256,7.454537631095956,67.17603276455235,96.39782027844849,60,109.16755833490966,77.47683539094801,10.002216439533168,89.56321411342465,128.77190255639465,60,63.982516288757324,47.71991288948901,6.160614263448653,51.90771233239796,76.05732024511668,60,0.6534399074568518,0.1905072462353553,0.024594379733378892,0.6052349231794292,0.7016448917342744,60,8,M2-R1
new_report_low_overlap_ood,E8,M2 joint multitask × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,100,50,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2325.6,100.0,21.797688861225808,6.359010824207268,0.8992999350871231,20.035060988455047,23.56031673399657,50,0.5023064489767729,0.2353487847341378,0.03328334432590437,0.4370710940980003,0.5675418038555454,50,72.01310757870326,48.138610701946554,6.8078276128491435,58.669765457518935,85.35644969988758,50,99.32463223891934,66.64124236970464,9.424494877262884,80.85262227948408,117.79664219835459,50,54.38058099746704,37.10209996262132,5.247029295966136,44.096403577373415,64.66475841756068,50,0.7449298446835918,0.14308090412411603,0.02023469551289294,0.7052698414783216,0.784589847888862,50,8,M2-R1
new_report_low_overlap_ood,E8,M2 joint multitask × R1 device encoder + multitask heads,R1_device_multi,multi,frozen_backbone_kshot_new_head,1000,30,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2939.3333333333335,1000.0,16.545423086015457,3.298153183480898,0.602157632233321,15.365194126838148,17.725652045192767,30,0.7742611806472514,0.04793994146946461,0.00875259578276771,0.7571060929130267,0.791416268381476,30,40.99762848275337,19.96878915499663,3.6457854220853934,33.851889055466,48.14336791004074,30,55.94817037027347,27.93912555406071,5.100963100976024,45.95028269236047,65.94605804818649,30,30.330135345458984,13.889884531266746,2.535934359638956,25.35970400056663,35.30056669035134,30,0.8840779409929096,0.0330786489513932,0.006039307400824222,0.8722408984872941,0.895914983498525,30,8,M2-R1
new_report_low_overlap_ood,E9,M2 joint multitask × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,5,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2023.8333333333333,5.0,31.220039297696026,14.599459358181015,1.8847820985955697,27.525866384448708,34.91421221094334,60,0.055881286627539994,0.7860437694885681,0.10147781428731087,-0.1430152293755893,0.2547778026306693,60,99.63725765056786,85.02472380047818,10.976644643171246,78.12303414995222,121.1514811511835,60,127.73768764709725,107.09795912490301,13.8262870701184,100.63816498966519,154.83721030452932,60,82.4110152721405,73.87788640575015,9.537594123415788,63.717330790245555,101.10469975403545,60,0.5678967434118076,0.31053685156259414,0.04009013514952039,0.48932007851874765,0.6464734083048675,60,9,M2-R2
new_report_low_overlap_ood,E9,M2 joint multitask × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,20,60,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2008.8333333333333,20.0,26.57564191315266,11.952589919300982,1.5430727233833117,23.551219375321367,29.60006445098395,60,0.25306115496516457,0.5420401498607273,0.06997708244621231,0.11590607337058845,0.3902162365597407,60,86.14516606415843,66.76556032188155,8.619396774228465,69.25114838667065,103.03918374164621,60,115.45864170858027,90.148904288138,11.638173499560162,92.64782164944236,138.26946176771818,60,65.22009372711182,49.16175118048878,6.346754786414195,52.78045434574,77.65973310848364,60,0.6507494557006429,0.20219513644761128,0.02610327987152449,0.5995870271524549,0.7019118842488309,60,9,M2-R2
new_report_low_overlap_ood,E9,M2 joint multitask × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,100,50,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2325.6,100.0,23.903328129267422,13.613806886618523,1.9252830334584154,20.129773383688928,27.676882874845916,50,0.48239217438140614,0.19143474866652044,0.027072961787367796,0.4293291692781653,0.535455179484647,50,71.95426116754302,43.46780783117179,6.1472763361470575,59.905599548694795,84.00292278639125,50,100.15826617534148,60.52456315170301,8.559465806584528,83.3817131944358,116.93481915624716,50,52.66958613395691,30.626036920991066,4.331175677540471,44.18048180597759,61.15869046193623,50,0.7431120557003327,0.11007429025408337,0.01556685541459173,0.7126010190877329,0.7736230923129325,50,9,M2-R2
new_report_low_overlap_ood,E9,M2 joint multitask × R2 no-device + multitask heads,R2_nodevice_multi,multi,frozen_backbone_kshot_new_head,1000,30,10,"2004,2006,2011,2012,2016,2020,2022,2027,2032,2034","2004,2006,2011,2012,2016,2020,2022,2027,2032,2034",2939.3333333333335,1000.0,16.708219961456958,3.437142258814304,0.6275334495022847,15.47825440043248,17.938185522481437,30,0.7726045015388839,0.04920423281878149,0.00898342274652754,0.75499699295569,0.7902120101220779,30,41.21481189528113,19.86658180436532,3.6271249982575235,34.105646898696385,48.323976891865875,30,56.14813362145503,27.912734435492176,5.096144763990098,46.15968988403444,66.13657735887563,30,30.428781032562256,13.394321951320117,2.4454574250748804,25.63568447941549,35.221877585709024,30,0.8834255153636068,0.03492378203491559,0.006376181071305647,0.8709282004638478,0.8959228302633658,30,9,M2-R2
